attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,date,field_type,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,other_info_string,start_time,venue
47820,Houston Astros,0,6,5,https://www.baseball-reference.com/boxes/NYA/NYA201604050.shtml,"Tuesday, April 5, 2016",,: 3:17,"Day Game, on grass",New York Yankees,1,4,3,"<!--  
    
Umpires: HP - Dana DeMuth, 1B - Greg Gibson, 2B - Ed Hickox, 3B - Mike Estabrook.Time of Game: 3:17.
Attendance: 47,820.
Field Condition: Unknown.
Start Time Weather: 36&deg; F, Wind 18mph from Left to Right, Sunny.

    

-->",Start Time: 1:11 p.m. Local, Yankee Stadium III
24123,San Francisco Giants,0,7,2,https://www.baseball-reference.com/boxes/MIL/MIL201604050.shtml,"Tuesday, April 5, 2016",,: 2:29,"Night Game, on grass",Milwaukee Brewers,0,6,1,"<!--  
    
Umpires: HP - Mark Carlson, 1B - Mike DiMuro, 2B - Quinn Wolcott, 3B - Brian Gorman.Time of Game: 2:29.
Attendance: 24,123.
Start Time Weather: 64&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 7:10 p.m. Local, Miller Park
36911,Detroit Tigers,1,12,8,https://www.baseball-reference.com/boxes/MIA/MIA201604050.shtml,"Tuesday, April 5, 2016",,: 3:47,"Night Game, on grass",Miami Marlins,2,10,7,"<!--  
    
Umpires: HP - Joe West, 1B - Kerwin Danley, 2B - Andy Fletcher, 3B - Mark Ripperger.Time of Game: 3:47.
Attendance: 36,911.
Field Condition: Unknown.
Start Time Weather: 77&deg; F, Wind 16mph from Left to Right, Sunny.

    

-->",Start Time: 7:37 p.m. Local, Marlins Park
13468,Texas Rangers,0,14,7,https://www.baseball-reference.com/boxes/SEA/SEA201604110.shtml,"Monday, April 11, 2016",,: 3:00,"Night Game, on grass",Seattle Mariners,0,7,3,"<!--  
    
Umpires: HP - Jeff Nelson, 1B - Doug Eddings, 2B - Laz Diaz, 3B - Cory Blaser.Time of Game: 3:00.
Attendance: 13,468.
Field Condition: Unknown.
Start Time Weather: 57&deg; F, Wind 2mph in from Leftfield.

    

-->",Start Time: 7:10 p.m. Local, Safeco Field
45229,San Diego Padres,0,6,4,https://www.baseball-reference.com/boxes/PHI/PHI201604110.shtml,"Monday, April 11, 2016",,: 2:51,"Day Game, on grass",Philadelphia Phillies,0,8,3,"<!--  
    
Umpires: HP - Ted Barrett, 1B - Angel Hernandez, 2B - Lance Barksdale, 3B - Will Little.Time of Game: 2:51.
Attendance: 45,229.
Field Condition: Unknown.
Start Time Weather: 66&deg; F, Wind 17mph out to Leftfield.

    

-->",Start Time: 3:09 p.m. Local, Citizens Bank Park
13371,Los Angeles Angels of Anaheim,0,9,4,https://www.baseball-reference.com/boxes/OAK/OAK201604110.shtml,"Monday, April 11, 2016",,: 3:05,"Night Game, on grass",Oakland Athletics,0,10,1,"<!--  
    
Umpires: HP - Larry Vanover, 1B - Alfonso Marquez, 2B - Chris Guccione, 3B - David Rackley.Time of Game: 3:05.
Attendance: 13,371.
Field Condition: Unknown.
Start Time Weather: 63&deg; F, Wind 11mph out to Rightfield, Cloudy.

    

-->",Start Time: 7:07 p.m. Local, Oakland-Alameda County Coliseum
24318,Miami Marlins,1,15,10,https://www.baseball-reference.com/boxes/NYN/NYN201604110.shtml,"Monday, April 11, 2016",,: 3:45,"Night Game, on grass",New York Mets,0,7,3,"<!--  
    
Umpires: HP - Jordan Baker, 1B - Tim Timmons, 2B - Mike Everitt, 3B - Paul Emmel.Time of Game: 3:45.
Attendance: 24,318.
Field Condition: Unknown.
Start Time Weather: 57&deg; F, Wind 15mph out to Leftfield.

    

-->",Start Time: 7:11 p.m. Local, Citi Field
40638,Chicago White Sox,0,9,4,https://www.baseball-reference.com/boxes/MIN/MIN201604110.shtml,"Monday, April 11, 2016",,: 3:05,"Day Game, on grass",Minnesota Twins,1,6,1,"<!--  
    
Umpires: HP - Kerwin Danley, 1B - Andy Fletcher, 2B - Mark Ripperger, 3B - Joe West.Time of Game: 3:05.
Attendance: 40,638.
Field Condition: Unknown.
Start Time Weather: 42&deg; F, Wind 21mph in from Leftfield, Cloudy.

    

-->",Start Time: 3:16 p.m. Local, Target Field
43332,Kansas City Royals,0,11,2,https://www.baseball-reference.com/boxes/HOU/HOU201604110.shtml,"Monday, April 11, 2016",,: 2:59,"Night Game, on grass",Houston Astros,0,14,8,"<!--  
    
Umpires: HP - Adrian Johnson, 1B - Gary Cederstrom, 2B - Eric Cooper, 3B - Jim Wolf.Time of Game: 2:59.
Attendance: 43,332.
Start Time Weather: 73&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 7:12 p.m. Local, Minute Maid Park
26271,Pittsburgh Pirates,1,17,7,https://www.baseball-reference.com/boxes/DET/DET201604110.shtml,"Monday, April 11, 2016",,: 3:17,"Day Game, on grass",Detroit Tigers,0,6,4,"<!--  
    
Umpires: HP - Ron Kulpa, 1B - Gabe Morales, 2B - Paul Nauert, 3B - Jerry Meals.Time of Game: 3:17.
Attendance: 26,271.
Field Condition: Unknown.
Start Time Weather: 56&deg; F, Wind 9mph in from Rightfield, Overcast.

    

-->",Start Time: 1:10 p.m. Local, Comerica Park
40882,Cincinnati Reds,1,7,3,https://www.baseball-reference.com/boxes/CHN/CHN201604110.shtml,"Monday, April 11, 2016",,: 3:03,"Night Game, on grass",Chicago Cubs,0,3,5,"<!--  
    
Umpires: HP - John Tumpane, 1B - Jeff Kellogg, 2B - Brian O'Nora, 3B - Alan Porter.Time of Game: 3:03.
Attendance: 40,882.
Field Condition: Unknown.
Start Time Weather: 48&deg; F, Wind 12mph from Left to Right, Cloudy.

    

-->",Start Time: 7:06 p.m. Local, Wrigley Field
21203,Kansas City Royals,0,13,6,https://www.baseball-reference.com/boxes/HOU/HOU201604140.shtml,"Thursday, April 14, 2016",,: 2:41,"Night Game, on grass",Houston Astros,0,5,2,"<!--  
    
Umpires: HP - Jim Wolf, 1B - Adrian Johnson, 2B - Gary Cederstrom, 3B - Eric Cooper.Time of Game: 2:41.
Attendance: 21,203.
Field Condition: Unknown.
Start Time Weather: 75&deg; F, Wind 2mph out to Leftfield, Cloudy.

    

-->",Start Time: 7:11 p.m. Local, Minute Maid Park
21226,San Francisco Giants,1,9,6,https://www.baseball-reference.com/boxes/COL/COL201604140.shtml,"Thursday, April 14, 2016",,: 3:26,"Day Game, on grass",Colorado Rockies,3,13,11,"<!--  
    
Umpires: HP - Carlos Torres, 1B - Gerry Davis, 2B - Sam Holbrook, 3B - Rob Drake.Time of Game: 3:26.
Attendance: 21,226.
Field Condition: Unknown.
Start Time Weather: 72&deg; F, Wind 12mph out to Centerfield, Cloudy.

    

-->",Start Time: 1:10 p.m. Local, Coors Field
34898,Cincinnati Reds,2,6,1,https://www.baseball-reference.com/boxes/CHN/CHN201604140.shtml,"Thursday, April 14, 2016",,: 3:07,"Night Game, on grass",Chicago Cubs,0,11,8,"<!--  
    
Umpires: HP - Brian O'Nora, 1B - Alan Porter, 2B - John Tumpane, 3B - Jeff Kellogg.Time of Game: 3:07.
Attendance: 34,898.
Field Condition: Unknown.
Start Time Weather: 45&deg; F, Wind 8mph out to Centerfield, Sunny.

    

-->",Start Time: 7:05 p.m. Local, Wrigley Field
19400,Atlanta Braves,0,5,0,https://www.baseball-reference.com/boxes/WAS/WAS201604130.shtml,"Wednesday, April 13, 2016",,: 2:12,"Night Game, on grass",Washington Nationals,0,4,3,"<!--  
    
Umpires: HP - Bob Davidson, 1B - Lance Barrett, 2B - Dale Scott, 3B - Dan Iassogna.Time of Game: 2:12.
Attendance: 19,400.
Field Condition: Unknown.
Start Time Weather: 56&deg; F, Wind 0mph, Sunny.

    

-->",Start Time: 7:05 p.m. Local, Nationals Park
27938,New York Yankees,1,8,2,https://www.baseball-reference.com/boxes/TOR/TOR201604130.shtml,"Wednesday, April 13, 2016",,: 2:43,"Night Game, on turf",Toronto Blue Jays,0,10,7,"<!--  
    
Umpires: HP - Chad Fairchild, 1B - Jim Joyce, 2B - Marvin Hudson, 3B - James Hoye.Time of Game: 2:43.
Attendance: 27,938.
Start Time Weather: 68&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 7:08 p.m. Local, Rogers Centre
16783,Toronto Blue Jays,0,8,4,https://www.baseball-reference.com/boxes/BAL/BAL201604190.shtml,"Tuesday, April 19, 2016",,: 2:50,"Night Game, on grass",Baltimore Orioles,1,7,3,"<!--  
    
Umpires: HP - Tom Hallion, 1B - Tony Randazzo, 2B - Dan Bellino, 3B - Adam Hamari.Time of Game: 2:50.
Attendance: 16,783.
Field Condition: Unknown.
Start Time Weather: 69&deg; F, Wind 11mph in from Centerfield, Sunny.

    

-->",Start Time: 7:09 p.m. Local, Oriole Park at Camden Yards
14160,Los Angeles Dodgers,3,5,1,https://www.baseball-reference.com/boxes/ATL/ATL201604190.shtml,"Tuesday, April 19, 2016",,: 2:57,"Night Game, on grass",Atlanta Braves,0,10,8,"<!--  
    
Umpires: HP - Ted Barrett, 1B - Ben May, 2B - Angel Hernandez, 3B - Will Little.Time of Game: 2:57.
Attendance: 14,160.
Field Condition: Unknown.
Start Time Weather: 80&deg; F, Wind 2mph out to Centerfield.

    

-->",Start Time: 7:10 p.m. Local, Turner Field
45432,Chicago Cubs,0,9,5,https://www.baseball-reference.com/boxes/SLN/SLN201604180.shtml,"Monday, April 18, 2016",,: 2:32,"Night Game, on grass",St. Louis Cardinals,1,5,0,"<!--  
    
Umpires: HP - Carlos Torres, 1B - Gerry Davis, 2B - Sam Holbrook, 3B - Rob Drake.Time of Game: 2:32.
Attendance: 45,432.
Field Condition: Unknown.
Start Time Weather: 75&deg; F, Wind 15mph from Right to Left.

    

-->",Start Time: 7:09 p.m. Local, Busch Stadium III
41432,Arizona Diamondbacks,0,16,9,https://www.baseball-reference.com/boxes/SFN/SFN201604180.shtml,"Monday, April 18, 2016",,: 4:35,"Night Game, on grass",San Francisco Giants,0,13,7,"<!--  
    
Umpires: HP - Brian Knight, 1B - Todd Tichenor, 2B - Bill Miller, 3B - Pat Hoberg.Time of Game: 4:35.
Attendance: 41,432.
Field Condition: Unknown.
Start Time Weather: 67&deg; F, Wind 6mph out to Centerfield, Cloudy.

    

-->",Start Time: 7:16 p.m. Local, AT&T Park
21585,New York Mets,0,10,5,https://www.baseball-reference.com/boxes/PHI/PHI201604180.shtml,"Monday, April 18, 2016",,: 2:51,"Night Game, on grass",Philadelphia Phillies,0,7,2,"<!--  
    
Umpires: HP - Greg Gibson, 1B - Ed Hickox, 2B - Mike Estabrook, 3B - Dana DeMuth.Time of Game: 2:51.
Attendance: 21,585.
Field Condition: Unknown.
Start Time Weather: 77&deg; F, Wind 4mph out to Centerfield, Sunny.

    

-->",Start Time: 7:07 p.m. Local, Citizens Bank Park
21078,Milwaukee Brewers,1,6,4,https://www.baseball-reference.com/boxes/MIN/MIN201604180.shtml,"Monday, April 18, 2016",,: 2:21,"Night Game, on grass",Minnesota Twins,1,14,7,"<!--  
    
Umpires: HP - Mike Everitt, 1B - Tim Timmons, 2B - Sean Barber, 3B - Jordan Baker.Time of Game: 2:21.
Attendance: 21,078.
Field Condition: Unknown.
Start Time Weather: 67&deg; F, Wind 14mph in from Leftfield.

    

-->",Start Time: 7:11 p.m. Local, Target Field
16112,Washington Nationals,1,6,1,https://www.baseball-reference.com/boxes/MIA/MIA201604180.shtml,"Monday, April 18, 2016",,: 2:43,"Night Game, on grass",Miami Marlins,0,10,6,"<!--  
    
Umpires: HP - Scott Barry, 1B - Tripp Gibson, 2B - Jerry Layne, 3B - Hunter Wendelstedt.Time of Game: 2:43.
Attendance: 16,112.
Start Time Weather: 73&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 7:11 p.m. Local, Marlins Park
12777,Colorado Rockies,1,7,5,https://www.baseball-reference.com/boxes/CIN/CIN201604180.shtml,"Monday, April 18, 2016",,: 2:41,"Night Game, on grass",Cincinnati Reds,0,4,1,"<!--  
    
Umpires: HP - Jim Wolf, 1B - Adrian Johnson, 2B - Gary Cederstrom, 3B - Eric Cooper.Time of Game: 2:41.
Attendance: 12,777.
Field Condition: Unknown.
Start Time Weather: 80&deg; F, Wind 10mph out to Centerfield, Sunny.

    

-->",Start Time: 7:10 p.m. Local, Great American Ball Park
14706,Los Angeles Angels of Anaheim,0,13,7,https://www.baseball-reference.com/boxes/CHA/CHA201604180.shtml,"Monday, April 18, 2016",,: 2:58,"Night Game, on grass",Chicago White Sox,1,3,0,"<!--  
    
Umpires: HP - Jerry Meals, 1B - Chris Conroy, 2B - Gabe Morales, 3B - Paul Nauert.Time of Game: 2:58.
Attendance: 14,706.
Field Condition: Unknown.
Start Time Weather: 75&deg; F, Wind 12mph in from Leftfield.

    

-->",Start Time: 7:11 p.m. Local, U.S. Cellular Field
37168,Toronto Blue Jays,0,8,4,https://www.baseball-reference.com/boxes/BOS/BOS201604180.shtml,"Monday, April 18, 2016",,: 3:12,"Day Game, on grass",Boston Red Sox,1,7,3,"<!--  
    
Umpires: HP - Will Little, 1B - Ted Barrett, 2B - Angel Hernandez, 3B - Lance Barksdale.Time of Game: 3:12.
Attendance: 37,168.
Field Condition: Unknown.
Start Time Weather: 66&deg; F, Wind 8mph in from Leftfield, Cloudy.

    

-->",Start Time: 11:07 a.m. Local, Fenway Park
21810,Chicago White Sox,1,5,2,https://www.baseball-reference.com/boxes/TBA/TBA201604170.shtml,"Sunday, April 17, 2016",,: 2:36,"Day Game, on turf",Tampa Bay Rays,0,8,3,"<!--  
    
Umpires: HP - CB Bucknor, 1B - Jim Reynolds, 2B - Manny Gonzalez, 3B - Fieldin Culbreth.Time of Game: 2:36.
Attendance: 21,810.
Start Time Weather: 72&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 1:10 p.m. Local, Tropicana Field
46268,Cincinnati Reds,1,8,3,https://www.baseball-reference.com/boxes/SLN/SLN201604170.shtml,"Sunday, April 17, 2016",,: 2:44,"Day Game, on grass",St. Louis Cardinals,2,7,4,"<!--  
    
Umpires: HP - Paul Nauert, 1B - Jerry Meals, 2B - Ron Kulpa, 3B - Gabe Morales.Time of Game: 2:44.
Attendance: 46,268.
Field Condition: Unknown.
Start Time Weather: 78&deg; F, Wind 11mph out to Leftfield, Cloudy.

    

-->",Start Time: 1:15 p.m. Local, Busch Stadium III
16497,Chicago Cubs,0,18,16,https://www.baseball-reference.com/boxes/CIN/CIN201604210.shtml,"Thursday, April 21, 2016",,: 2:56,"Night Game, on grass",Cincinnati Reds,1,0,0,"<!--  
    
Umpires: HP - Dana DeMuth, 1B - Greg Gibson, 2B - Ed Hickox, 3B - Mike Estabrook.Time of Game: 2:56.
Attendance: 16,497.
Field Condition: Unknown.
Start Time Weather: 58&deg; F, Wind 13mph in unknown direction, Overcast.

    

-->",Start Time: 7:11 p.m. Local, Great American Ball Park
24333,Chicago White Sox,0,11,7,https://www.baseball-reference.com/boxes/TOR/TOR201604250.shtml,"Monday, April 25, 2016",,: 3:24,"Night Game, on turf",Toronto Blue Jays,0,14,5,"<!--  
    
Umpires: HP - Dan Iassogna, 1B - Alan Porter, 2B - John Tumpane, 3B - Lance Barksdale.Time of Game: 3:24.
Attendance: 24,333.
Start Time Weather: 68&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 7:08 p.m. Local, Rogers Centre
31453,New York Yankees,1,10,3,https://www.baseball-reference.com/boxes/TEX/TEX201604250.shtml,"Monday, April 25, 2016",,: 2:46,"Night Game, on grass",Texas Rangers,0,3,1,"<!--  
    
Umpires: HP - Jim Reynolds, 1B - Manny Gonzalez, 2B - Fieldin Culbreth, 3B - CB Bucknor.Time of Game: 2:46.
Attendance: 31,453.
Field Condition: Unknown.
Start Time Weather: 82&deg; F, Wind 10mph from Right to Left, Cloudy.

    

-->",Start Time: 7:10 p.m. Local, Globe Life Park in Arlington
12996,Baltimore Orioles,0,5,0,https://www.baseball-reference.com/boxes/TBA/TBA201604250.shtml,"Monday, April 25, 2016",,: 2:37,"Night Game, on turf",Tampa Bay Rays,0,5,2,"<!--  
    
Umpires: HP - Paul Nauert, 1B - Ron Kulpa, 2B - Chris Conroy, 3B - Gabe Morales.Time of Game: 2:37.
Attendance: 12,996.
Start Time Weather: 72&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 7:10 p.m. Local, Tropicana Field
41266,San Diego Padres,0,11,4,https://www.baseball-reference.com/boxes/SFN/SFN201604250.shtml,"Monday, April 25, 2016",,: 3:47,"Night Game, on grass",San Francisco Giants,0,12,5,"<!--  
    
Umpires: HP - Bill Welke, 1B - D.J. Reyburn, 2B - Clint Fagan, 3B - Vic Carapazza.Time of Game: 3:47.
Attendance: 41,266.
Field Condition: Unknown.
Start Time Weather: 59&deg; F, Wind 22mph out to Rightfield, Sunny.

    

-->",Start Time: 7:15 p.m. Local, AT&T Park
14832,Houston Astros,0,10,2,https://www.baseball-reference.com/boxes/SEA/SEA201604250.shtml,"Monday, April 25, 2016",,: 2:40,"Night Game, on grass",Seattle Mariners,0,4,3,"<!--  
    
Umpires: HP - Quinn Wolcott, 1B - Brian Gorman, 2B - Mike DiMuro, 3B - Ryan Blakney.Time of Game: 2:40.
Attendance: 14,832.
Field Condition: Unknown.
Start Time Weather: 56&deg; F, Wind 3mph in from Rightfield, Cloudy.

    

-->",Start Time: 7:11 p.m. Local, Safeco Field
30250,Cincinnati Reds,0,8,3,https://www.baseball-reference.com/boxes/NYN/NYN201604250.shtml,"Monday, April 25, 2016",,: 3:11,"Night Game, on grass",New York Mets,1,10,5,"<!--  
    
Umpires: HP - Sam Holbrook, 1B - Carlos Torres, 2B - Gerry Davis, 3B - Cory Blaser.Time of Game: 3:11.
Attendance: 30,250.
Field Condition: Unknown.
Start Time Weather: 64&deg; F, Wind 8mph from Right to Left, Cloudy.

    

-->",Start Time: 7:10 p.m. Local, Citi Field
17503,Cleveland Indians,0,12,3,https://www.baseball-reference.com/boxes/MIN/MIN201604250.shtml,"Monday, April 25, 2016",,: 3:24,"Night Game, on grass",Minnesota Twins,1,5,4,"<!--  
    
Umpires: HP - Jeff Nelson, 1B - Doug Eddings, 2B - Laz Diaz, 3B - Ben May.Time of Game: 3:24.
Attendance: 17,503.
Field Condition: Unknown.
Start Time Weather: 50&deg; F, Wind 10mph from Left to Right, Overcast.

    

-->",Start Time: 7:11 p.m. Local, Target Field
44954,Miami Marlins,1,8,3,https://www.baseball-reference.com/boxes/LAN/LAN201604250.shtml,"Monday, April 25, 2016",,: 2:51,"Night Game, on grass",Los Angeles Dodgers,0,7,2,"<!--  
    
Umpires: HP - Pat Hoberg, 1B - Brian Knight, 2B - Todd Tichenor, 3B - Bill Miller.Time of Game: 2:51.
Attendance: 44,954.
Field Condition: Unknown.
Start Time Weather: 61&deg; F, Wind 17mph from Left to Right, Sunny.

    

-->",Start Time: 7:10 p.m. Local, Dodger Stadium
21671,Oakland Athletics,0,10,3,https://www.baseball-reference.com/boxes/DET/DET201604250.shtml,"Monday, April 25, 2016",,: 2:39,"Night Game, on grass",Detroit Tigers,2,12,7,"<!--  
    
Umpires: HP - Mike Winters, 1B - Mark Wegner, 2B - Marty Foster, 3B - Mike Muchlinski.Time of Game: 2:39.
Attendance: 21,671.
Field Condition: Unknown.
Start Time Weather: 64&deg; F, Wind 12mph in from Leftfield.

    

-->",Start Time: 7:10 p.m. Local, Comerica Park
20674,Pittsburgh Pirates,0,9,6,https://www.baseball-reference.com/boxes/COL/COL201604250.shtml,"Monday, April 25, 2016",,: 2:59,"Night Game, on grass",Colorado Rockies,0,9,1,"<!--  
    
Umpires: HP - Lance Barrett, 1B - Dale Scott, 2B - Ramon De Jesus, 3B - Bob Davidson.Time of Game: 2:59.
Attendance: 20,674.
Field Condition: Unknown.
Start Time Weather: 64&deg; F, Wind 6mph out to Rightfield.

    

-->",Start Time: 6:40 p.m. Local, Coors Field
22735,Boston Red Sox,0,6,1,https://www.baseball-reference.com/boxes/ATL/ATL201604250.shtml,"Monday, April 25, 2016",,: 2:55,"Night Game, on grass",Atlanta Braves,2,4,0,"<!--  
    
Umpires: HP - Mark Ripperger, 1B - Joe West, 2B - Kerwin Danley, 3B - Andy Fletcher.Time of Game: 2:55.
Attendance: 22,735.
Field Condition: Unknown.
Start Time Weather: 75&deg; F, Wind 8mph out to Leftfield, Cloudy.

    

-->",Start Time: 7:10 p.m. Local, Turner Field
18208,St. Louis Cardinals,1,11,7,https://www.baseball-reference.com/boxes/ARI/ARI201604250.shtml,"Monday, April 25, 2016",,: 3:26,"Night Game, on grass",Arizona Diamondbacks,0,18,12,"<!--  
    
Umpires: HP - Dan Bellino, 1B - Adam Hamari, 2B - Tom Hallion, 3B - Tony Randazzo.Time of Game: 3:26.
Attendance: 18,208.
Start Time Weather: 76&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 6:40 p.m. Local, Chase Field
41357,San Diego Padres,1,9,9,https://www.baseball-reference.com/boxes/SFN/SFN201604270.shtml,"Wednesday, April 27, 2016",,: 3:21,"Day Game, on grass",San Francisco Giants,0,16,13,"<!--  
    
Umpires: HP - Clint Fagan, 1B - Vic Carapazza, 2B - Bill Welke, 3B - D.J. Reyburn.Time of Game: 3:21.
Attendance: 41,357.
Field Condition: Unknown.
Start Time Weather: 59&deg; F, Wind 16mph from Right to Left, Overcast.

    

-->",Start Time: 12:45 p.m. Local, AT&T Park
27217,Toronto Blue Jays,0,5,5,https://www.baseball-reference.com/boxes/TBA/TBA201605010.shtml,"Sunday, May 1, 2016",,: 2:34,"Day Game, on turf",Tampa Bay Rays,1,4,1,"<!--  
    
Umpires: HP - Tom Hallion, 1B - Andy Fletcher, 2B - Mark Ripperger, 3B - Joe West.Time of Game: 2:34.
Attendance: 27,217.
Start Time Weather: 72&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 1:10 p.m. Local, Tropicana Field
42933,Washington Nationals,0,11,6,https://www.baseball-reference.com/boxes/SLN/SLN201605010.shtml,"Sunday, May 1, 2016",,: 2:47,"Day Game, on grass",St. Louis Cardinals,0,6,1,"<!--  
    
Umpires: HP - Doug Eddings, 1B - Laz Diaz, 2B - Ben May, 3B - Jeff Nelson.Time of Game: 2:47.
Attendance: 42,933.
Field Condition: Unknown.
Start Time Weather: 68&deg; F, Wind 8mph out to Rightfield, Cloudy.

    

-->",Start Time: 1:15 p.m. Local, Busch Stadium III
