attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,date,field_type,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue
27938.0,New York Yankees,1,8,2,https://www.baseball-reference.com/boxes/TOR/TOR201604130.shtml,"Wednesday, April 13, 2016",,: 2:43,"Night Game, on turf",Toronto Blue Jays,0,10,7,Start Time: 7:08 p.m. Local, Rogers Centre
16783.0,Toronto Blue Jays,0,8,4,https://www.baseball-reference.com/boxes/BAL/BAL201604190.shtml,"Tuesday, April 19, 2016",,: 2:50,"Night Game, on grass",Baltimore Orioles,1,7,3,Start Time: 7:09 p.m. Local, Oriole Park at Camden Yards
14160.0,Los Angeles Dodgers,3,5,1,https://www.baseball-reference.com/boxes/ATL/ATL201604190.shtml,"Tuesday, April 19, 2016",,: 2:57,"Night Game, on grass",Atlanta Braves,0,10,8,Start Time: 7:10 p.m. Local, Turner Field
45432.0,Chicago Cubs,0,9,5,https://www.baseball-reference.com/boxes/SLN/SLN201604180.shtml,"Monday, April 18, 2016",,: 2:32,"Night Game, on grass",St. Louis Cardinals,1,5,0,Start Time: 7:09 p.m. Local, Busch Stadium III
41432.0,Arizona Diamondbacks,0,16,9,https://www.baseball-reference.com/boxes/SFN/SFN201604180.shtml,"Monday, April 18, 2016",,: 4:35,"Night Game, on grass",San Francisco Giants,0,13,7,Start Time: 7:16 p.m. Local, AT&T Park
21585.0,New York Mets,0,10,5,https://www.baseball-reference.com/boxes/PHI/PHI201604180.shtml,"Monday, April 18, 2016",,: 2:51,"Night Game, on grass",Philadelphia Phillies,0,7,2,Start Time: 7:07 p.m. Local, Citizens Bank Park
21078.0,Milwaukee Brewers,1,6,4,https://www.baseball-reference.com/boxes/MIN/MIN201604180.shtml,"Monday, April 18, 2016",,: 2:21,"Night Game, on grass",Minnesota Twins,1,14,7,Start Time: 7:11 p.m. Local, Target Field
16112.0,Washington Nationals,1,6,1,https://www.baseball-reference.com/boxes/MIA/MIA201604180.shtml,"Monday, April 18, 2016",,: 2:43,"Night Game, on grass",Miami Marlins,0,10,6,Start Time: 7:11 p.m. Local, Marlins Park
12777.0,Colorado Rockies,1,7,5,https://www.baseball-reference.com/boxes/CIN/CIN201604180.shtml,"Monday, April 18, 2016",,: 2:41,"Night Game, on grass",Cincinnati Reds,0,4,1,Start Time: 7:10 p.m. Local, Great American Ball Park
14706.0,Los Angeles Angels of Anaheim,0,13,7,https://www.baseball-reference.com/boxes/CHA/CHA201604180.shtml,"Monday, April 18, 2016",,: 2:58,"Night Game, on grass",Chicago White Sox,1,3,0,Start Time: 7:11 p.m. Local, U.S. Cellular Field
37168.0,Toronto Blue Jays,0,8,4,https://www.baseball-reference.com/boxes/BOS/BOS201604180.shtml,"Monday, April 18, 2016",,: 3:12,"Day Game, on grass",Boston Red Sox,1,7,3,Start Time: 11:07 a.m. Local, Fenway Park
21810.0,Chicago White Sox,1,5,2,https://www.baseball-reference.com/boxes/TBA/TBA201604170.shtml,"Sunday, April 17, 2016",,: 2:36,"Day Game, on turf",Tampa Bay Rays,0,8,3,Start Time: 1:10 p.m. Local, Tropicana Field
46268.0,Cincinnati Reds,1,8,3,https://www.baseball-reference.com/boxes/SLN/SLN201604170.shtml,"Sunday, April 17, 2016",,: 2:44,"Day Game, on grass",St. Louis Cardinals,2,7,4,Start Time: 1:15 p.m. Local, Busch Stadium III
16497.0,Chicago Cubs,0,18,16,https://www.baseball-reference.com/boxes/CIN/CIN201604210.shtml,"Thursday, April 21, 2016",,: 2:56,"Night Game, on grass",Cincinnati Reds,1,0,0,Start Time: 7:11 p.m. Local, Great American Ball Park
24333.0,Chicago White Sox,0,11,7,https://www.baseball-reference.com/boxes/TOR/TOR201604250.shtml,"Monday, April 25, 2016",,: 3:24,"Night Game, on turf",Toronto Blue Jays,0,14,5,Start Time: 7:08 p.m. Local, Rogers Centre
31453.0,New York Yankees,1,10,3,https://www.baseball-reference.com/boxes/TEX/TEX201604250.shtml,"Monday, April 25, 2016",,: 2:46,"Night Game, on grass",Texas Rangers,0,3,1,Start Time: 7:10 p.m. Local, Globe Life Park in Arlington
12996.0,Baltimore Orioles,0,5,0,https://www.baseball-reference.com/boxes/TBA/TBA201604250.shtml,"Monday, April 25, 2016",,: 2:37,"Night Game, on turf",Tampa Bay Rays,0,5,2,Start Time: 7:10 p.m. Local, Tropicana Field
41266.0,San Diego Padres,0,11,4,https://www.baseball-reference.com/boxes/SFN/SFN201604250.shtml,"Monday, April 25, 2016",,: 3:47,"Night Game, on grass",San Francisco Giants,0,12,5,Start Time: 7:15 p.m. Local, AT&T Park
14832.0,Houston Astros,0,10,2,https://www.baseball-reference.com/boxes/SEA/SEA201604250.shtml,"Monday, April 25, 2016",,: 2:40,"Night Game, on grass",Seattle Mariners,0,4,3,Start Time: 7:11 p.m. Local, Safeco Field
30250.0,Cincinnati Reds,0,8,3,https://www.baseball-reference.com/boxes/NYN/NYN201604250.shtml,"Monday, April 25, 2016",,: 3:11,"Night Game, on grass",New York Mets,1,10,5,Start Time: 7:10 p.m. Local, Citi Field
17503.0,Cleveland Indians,0,12,3,https://www.baseball-reference.com/boxes/MIN/MIN201604250.shtml,"Monday, April 25, 2016",,: 3:24,"Night Game, on grass",Minnesota Twins,1,5,4,Start Time: 7:11 p.m. Local, Target Field
44954.0,Miami Marlins,1,8,3,https://www.baseball-reference.com/boxes/LAN/LAN201604250.shtml,"Monday, April 25, 2016",,: 2:51,"Night Game, on grass",Los Angeles Dodgers,0,7,2,Start Time: 7:10 p.m. Local, Dodger Stadium
21671.0,Oakland Athletics,0,10,3,https://www.baseball-reference.com/boxes/DET/DET201604250.shtml,"Monday, April 25, 2016",,: 2:39,"Night Game, on grass",Detroit Tigers,2,12,7,Start Time: 7:10 p.m. Local, Comerica Park
20674.0,Pittsburgh Pirates,0,9,6,https://www.baseball-reference.com/boxes/COL/COL201604250.shtml,"Monday, April 25, 2016",,: 2:59,"Night Game, on grass",Colorado Rockies,0,9,1,Start Time: 6:40 p.m. Local, Coors Field
22735.0,Boston Red Sox,0,6,1,https://www.baseball-reference.com/boxes/ATL/ATL201604250.shtml,"Monday, April 25, 2016",,: 2:55,"Night Game, on grass",Atlanta Braves,2,4,0,Start Time: 7:10 p.m. Local, Turner Field
18208.0,St. Louis Cardinals,1,11,7,https://www.baseball-reference.com/boxes/ARI/ARI201604250.shtml,"Monday, April 25, 2016",,: 3:26,"Night Game, on grass",Arizona Diamondbacks,0,18,12,Start Time: 6:40 p.m. Local, Chase Field
41357.0,San Diego Padres,1,9,9,https://www.baseball-reference.com/boxes/SFN/SFN201604270.shtml,"Wednesday, April 27, 2016",,: 3:21,"Day Game, on grass",San Francisco Giants,0,16,13,Start Time: 12:45 p.m. Local, AT&T Park
27217.0,Toronto Blue Jays,0,5,5,https://www.baseball-reference.com/boxes/TBA/TBA201605010.shtml,"Sunday, May 1, 2016",,: 2:34,"Day Game, on turf",Tampa Bay Rays,1,4,1,Start Time: 1:10 p.m. Local, Tropicana Field
42933.0,Washington Nationals,0,11,6,https://www.baseball-reference.com/boxes/SLN/SLN201605010.shtml,"Sunday, May 1, 2016",,: 2:47,"Day Game, on grass",St. Louis Cardinals,0,6,1,Start Time: 1:15 p.m. Local, Busch Stadium III
37053.0,Kansas City Royals,0,11,4,https://www.baseball-reference.com/boxes/SEA/SEA201605010.shtml,"Sunday, May 1, 2016",,: 3:14,"Day Game, on grass",Seattle Mariners,1,8,1,Start Time: 1:10 p.m. Local, Safeco Field
28755.0,Cincinnati Reds,0,8,6,https://www.baseball-reference.com/boxes/PIT/PIT201605010.shtml,"Sunday, May 1, 2016",,: 3:42,"Day Game, on grass",Pittsburgh Pirates,4,9,5,Start Time: 1:36 p.m. Local, PNC Park
23809.0,Cleveland Indians,0,4,1,https://www.baseball-reference.com/boxes/PHI/PHI201605010.shtml,"Sunday, May 1, 2016",,: 2:40,"Day Game, on grass",Philadelphia Phillies,2,4,2,Start Time: 2:40 p.m. Local, Citizens Bank Park
24135.0,Houston Astros,0,2,2,https://www.baseball-reference.com/boxes/OAK/OAK201605010.shtml,"Sunday, May 1, 2016",,: 2:50,"Day Game, on grass",Oakland Athletics,0,8,1,Start Time: 1:07 p.m. Local, Oakland-Alameda County Coliseum
39077.0,San Francisco Giants,0,8,6,https://www.baseball-reference.com/boxes/NYN/NYN201605010.shtml,"Sunday, May 1, 2016",,: 3:19,"Day Game, on grass",New York Mets,0,10,1,Start Time: 1:12 p.m. Local, Citi Field
