attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,week_day,year,fiedl_type
12996.0,Baltimore Orioles,0,5,0,April 25, 237,Night Game,Tampa Bay Rays,0,5,2, 7:10pm, Tropicana Field,Monday,2016,on turf
41266.0,San Diego Padres,0,11,4,April 25, 347,Night Game,San Francisco Giants,0,12,5, 7:15pm, AT&T Park,Monday,2016,on grass
14832.0,Houston Astros,0,10,2,April 25, 240,Night Game,Seattle Mariners,0,4,3, 7:11pm, Safeco Field,Monday,2016,on grass
30250.0,Cincinnati Reds,0,8,3,April 25, 311,Night Game,New York Mets,1,10,5, 7:10pm, Citi Field,Monday,2016,on grass
17503.0,Cleveland Indians,0,12,3,April 25, 324,Night Game,Minnesota Twins,1,5,4, 7:11pm, Target Field,Monday,2016,on grass
44954.0,Miami Marlins,1,8,3,April 25, 251,Night Game,Los Angeles Dodgers,0,7,2, 7:10pm, Dodger Stadium,Monday,2016,on grass
21671.0,Oakland Athletics,0,10,3,April 25, 239,Night Game,Detroit Tigers,2,12,7, 7:10pm, Comerica Park,Monday,2016,on grass
20674.0,Pittsburgh Pirates,0,9,6,April 25, 259,Night Game,Colorado Rockies,0,9,1, 6:40pm, Coors Field,Monday,2016,on grass
22735.0,Boston Red Sox,0,6,1,April 25, 255,Night Game,Atlanta Braves,2,4,0, 7:10pm, Turner Field,Monday,2016,on grass
18208.0,St. Louis Cardinals,1,11,7,April 25, 326,Night Game,Arizona Diamondbacks,0,18,12, 6:40pm, Chase Field,Monday,2016,on grass
41357.0,San Diego Padres,1,9,9,April 27, 321,Day Game,San Francisco Giants,0,16,13, 12:45pm, AT&T Park,Wednesday,2016,on grass
27217.0,Toronto Blue Jays,0,5,5,May 1, 234,Day Game,Tampa Bay Rays,1,4,1, 1:10pm, Tropicana Field,Sunday,2016,on turf
42933.0,Washington Nationals,0,11,6,May 1, 247,Day Game,St. Louis Cardinals,0,6,1, 1:15pm, Busch Stadium III,Sunday,2016,on grass
37053.0,Kansas City Royals,0,11,4,May 1, 314,Day Game,Seattle Mariners,1,8,1, 1:10pm, Safeco Field,Sunday,2016,on grass
28755.0,Cincinnati Reds,0,8,6,May 1, 342,Day Game,Pittsburgh Pirates,4,9,5, 1:36pm, PNC Park,Sunday,2016,on grass
23809.0,Cleveland Indians,0,4,1,May 1, 240,Day Game,Philadelphia Phillies,2,4,2, 2:40pm, Citizens Bank Park,Sunday,2016,on grass
24135.0,Houston Astros,0,2,2,May 1, 250,Day Game,Oakland Athletics,0,8,1, 1:07pm, Oakland-Alameda County Coliseum,Sunday,2016,on grass
39077.0,San Francisco Giants,0,8,6,May 1, 319,Day Game,New York Mets,0,10,1, 1:12pm, Citi Field,Sunday,2016,on grass
24749.0,Detroit Tigers,0,14,6,May 1, 333,Day Game,Minnesota Twins,0,11,5, 1:11pm, Target Field,Sunday,2016,on grass
28181.0,Miami Marlins,1,16,5,May 1, 321,Day Game,Milwaukee Brewers,0,18,14, 1:11pm, Miller Park,Sunday,2016,on grass
49271.0,San Diego Padres,1,3,0,May 1, 207,Day Game,Los Angeles Dodgers,0,3,1, 1:10pm, Dodger Stadium,Sunday,2016,on grass
40164.0,Atlanta Braves,1,5,4,May 1, 304,Day Game,Chicago Cubs,1,6,3, 1:21pm, Wrigley Field,Sunday,2016,on grass
34279.0,New York Yankees,2,9,7,May 1, 317,Night Game,Boston Red Sox,0,14,8, 8:09pm, Fenway Park,Sunday,2016,on grass
40087.0,Philadelphia Phillies,0,5,1,May 3, 231,Night Game,St. Louis Cardinals,0,3,0, 7:15pm, Busch Stadium III,Tuesday,2016,on grass
42338.0,Pittsburgh Pirates,0,11,4,May 7, 323,Day Game,St. Louis Cardinals,1,9,6, 1:16pm, Busch Stadium III,Saturday,2016,on grass
41590.0,Colorado Rockies,0,12,1,May 7, 420,Day Game,San Francisco Giants,0,7,2, 1:05pm, AT&T Park,Saturday,2016,on grass
41028.0,New York Mets,0,9,6,May 7, 252,Night Game,San Diego Padres,0,8,3, 5:41pm, Petco Park,Saturday,2016,on grass
47822.0,Boston Red Sox,0,6,2,May 7, 309,Day Game,New York Yankees,1,11,8, 1:08pm, Yankee Stadium III,Saturday,2016,on grass
21719.0,Philadelphia Phillies,0,5,4,May 7, 320,Night Game,Miami Marlins,1,10,3, 7:10pm, Marlins Park,Saturday,2016,on grass
31559.0,Seattle Mariners,0,11,3,May 7, 327,Night Game,Houston Astros,1,8,2, 6:11pm, Minute Maid Park,Saturday,2016,on grass
35551.0,Texas Rangers,0,10,10,May 7, 314,Day Game,Detroit Tigers,0,11,5, 1:10pm, Comerica Park,Saturday,2016,on grass
17302.0,Kansas City Royals,0,12,7,May 7, 241,Day Game,Cleveland Indians,0,6,0, 4:10pm, Progressive Field,Saturday,2016,on grass
27567.0,Milwaukee Brewers,2,15,13,May 7, 338,Night Game,Cincinnati Reds,3,11,7, 7:10pm, Great American Ball Park,Saturday,2016,on grass
40471.0,Washington Nationals,0,6,5,May 7, 332,Day Game,Chicago Cubs,1,11,8, 3:05pm, Wrigley Field,Saturday,2016,on grass
28049.0,Minnesota Twins,0,4,2,May 7, 258,Night Game,Chicago White Sox,0,13,7, 6:10pm, U.S. Cellular Field,Saturday,2016,on grass
29862.0,Oakland Athletics,1,9,2,May 7, 232,Night Game,Baltimore Orioles,0,8,5, 7:07pm, Oriole Park at Camden Yards,Saturday,2016,on grass
15230.0,Tampa Bay Rays,1,4,2,May 9, 305,Night Game,Seattle Mariners,0,9,5, 7:10pm, Safeco Field,Monday,2016,on grass
14604.0,Oakland Athletics,1,11,6,May 13, 307,Night Game,Tampa Bay Rays,0,5,3, 7:10pm, Tropicana Field,Friday,2016,on turf
34579.0,Los Angeles Angels of Anaheim,0,13,7,May 13, 341,Night Game,Seattle Mariners,0,10,6, 7:10pm, Safeco Field,Friday,2016,on grass
22230.0,Cincinnati Reds,0,4,2,May 13, 237,Night Game,Philadelphia Phillies,1,7,3, 7:09pm, Citizens Bank Park,Friday,2016,on grass
34264.0,Chicago White Sox,0,9,7,May 13, 245,Night Game,New York Yankees,0,6,1, 7:08pm, Yankee Stadium III,Friday,2016,on grass
35291.0,San Diego Padres,0,3,0,May 13, 256,Night Game,Milwaukee Brewers,2,7,1, 7:10pm, Miller Park,Friday,2016,on grass
